Book title---Author---Description---Price
Простими словами. Як розібратися у своїх емоціях---Марк Лівін, Ілля Полудьонний---"Зрозуміти свої емоції та перемогти. 
 Тематика 
 Психологія, емоції, ментальне здоров’я. 
 Про книжку «Простими словами. Як розібратися у своїх емоціях» Марка Лівіна, Іллі Полудьонного 
 Розум: та все добре! У тебе є робота, дах над головою, їжа і друзі.   Емоції: щось так"---200
12 правил життя. Як перемогти хаос---Джордан Пітерсон---"Правила життя від контроверсійного канадського психолога. 

 Тематика 
 Саморозвиток, психологія. 

 Про книжку Джордана Пітерсона «12 правил життя» 
 У сучасному світі толерантність часто підміняє мораль, спільноти — індивідуальність, а повага до думки інших — готовність захищати власну позицію."---220
Хто ти є? Як прийняти себе та зрозуміти інших---Ліз Бурбо---Ти — унікальна особистість. Іншої такої немає у всьому Всесвіті. Але чи цінуєш і розумієш ти себе? Ліз Бурбо навчить слухати сигнали тіла й удосконалювати душу, бути щирою з собою та покращити спілкування з іншими людьми. Нескладні вправи, думки для медитацій, опис причин понад 250 хвороб---175
Мислення швидке й повільне---Деніел Канеман---Книжка «Мислення швидке й повільне» психолога й економіста Деніела Канемана стала бестселером New York Times та Amazon. Її також визнано книжкою року за версією New York Times Book Review, The Economist, The Wall Street Journal і Globe and Mail (2011) та переможцем National Academy of---325
Легко. Мистецтво простого життя без турбот і стресу---Френсін Джей---"Від авторки бестселера ""Радощі мінімалізму"".   Нехай це маленьке чудове слово ""легко"" стане вашою мантрою, вашим життєвим кредо. Нову книгу Френсін Джей можна позиціонувати як своєрідну збірку рецептів з мінімалізму. Якщо ви хочете навести лад у шафі, вивільнити час для улюбленої справи або"---300
Витончене мистецтво забивати на все. Нестандартний підхід до проблем---Марк Менсон---"Бестселер New York Times, що переконає вас: позитивного мислення може бути забагато. Книжка навчить конструктивно сприймати негативний досвід та допоможе відшукати надійне підґрунтя для щасливого життя. 
 Тематика 
 Саморозвиток, психологія, мотиваційна література. 
 Про книжку 
 Ми живемо в"---185
Навчитися вчитися. Як запустити свій мозок на повну---Барбара Оклі---"ТЕМАТИКА 
 Саморозвиток, освіта, психологія, робота мозку.
   ПРО КНИЖКУ   
 Ви математик чи гуманітарій? Професорка Барбара Оклі переконує, що таких понять не існує. Кожен із нас має внутрішній потенціал, щоб засвоїти будь-які знання. Головне — навчитися вчитися й запустити свій мозок на повну."---175
Зимівля. Цінність відпочинку й усамітнення у скрутні часи---Кетрін Мей---Іноді наше життя дає збій: раптова хвороба, смерть близького, розлучення, втрата роботи – усе це може вибити нас зі звичної колії. Кетрін Мей пережила власний період «зими»: її чоловік захворів, син перестав відвідувати школу, а проблеми зі здоров’ям змусили покинути роботу. Це прониклива історія,---220
Ніколи не йдіть на компроміс. Техніка ефективних переговорів---Кріс Восс, Тал Рез---"Техніка ведення ефективних переговорів від експерта ФБР.
	
  ТЕМАТИКА 
 Психологія.

  ПРО КНИЖКУ 
 Життя — це серія постійних переговорів. Ми домовляємося про ціну на вживане авто, про заробітну платню чи те, хто виконуватиме хатні справи в нашій сім’ї. Фактично це єдиний прийнятний спосіб"---190
Хижаки. Педофіли, ґвалтівники та інші сексуальні злочинці: хто вони такі, як вони...---Анна Солтер---Що мотивує сексуальних насильників? Чому так мало цих злочинців спіймано та засуджено? Спираючись на досліджені нею історії насильників, Анна Солтер — американська психологиня і міжнародно визнана фахівчиня з питань сексуальних злочинів — демонструє, що сексуальні хижаки використовують складні---261
Усе замахало. Але надія є---Марк Менсон---"Як подолати безнадію та бути чесним із собою та людьми
навколо. 

 Тематика 

 Саморозвиток, психологія, мотиваційна література. 

 Про що книга 

 Ми живемо в парадоксі прогресу: що кращими стають речі навколо нас, то
тривожнішими ми є. І хоча світ успішно бореться з голодом, расизмом,
сексизмом"---195
Поведінкова економіка. Чому люди діють ірраціонально і як отримати з цього вигоду---Річард Талер---"Книжка Річарда Талера — лауреата Нобелівської премії з економіки 2017 року, відзначеного за внесок у галузь поведінкової економіки. 
  ТЕМАТИКА  
 Поведінкова економіка, психологія, фінанси. 
  ПРО КНИЖКУ  
 За класичною економічною теорією, люди діють раціонально. Та й самі ми схильні"---260
За межами порядку. Ще 12 правил життя---Джордан Пітерсон---"Нові 12 настанов для життя у сучасному світі від культового
автора. 

 Тематика книги  

 Саморозвиток, психологія. 

 Опис книги ""За межами порядку. Ще 12 правил життя"" Джордана Пітерсона  


 Як не потонути, коли доводиться вступати в грузьке болото? Чому хаос і порядок
рівноцінно важливі? Як"---250
21 лист про життя і його виклики---Чарльз Генді---Чарльз Генді — один з видатних умів сучасності. Його книжки з менеджменту, зокрема «Розуміння організацій» і «Боги менеджменту», змінили наше уявлення про бізнес. Його праці з ширших питань, такі як «Потойбіч упевненості» і «Друга крива», змінили наше уявлення про суспільство. У своїй новій книжці---175
Сила волі. Шлях до влади над собою---Келлі Макґоніґал---"Книжка «Сила волі. Шлях до влади над собою» відомого американського психолога, викладачки Стенфордського університету Келлі Макґоніґал стала  світовим бестселером. 

  ТЕМАТИКА 
 Психологія, мотиваційна література, селфмейд, саморозвиток, поведінка, звички

  ПРО КНИЖКУ 
 Мова, література,"---195
Чудовий ранок. Як не проспати життя---Гел Елрод---"Книжка коуча Гела Елрода отримала понад півтори тисячі п’ятизіркових відгуків на Amazon.com від читачів з усього світу. Вона допоможе виробити корисні звички і продуктивно використовувати ранковий час.
  ТЕМАТИКА 
 Селфмейд, мотивація, психологія особистості, поведінка, звички, тайм-менеджмент."---175
Писати як дихати. 62 дні творчої свободи---Таіс Золотковська---"«Писати як дихати» — книжка для роботи, відпочинку і натхнення. Тут ви знайдете прості, мудрі, легковтілювані ідеї та поради, які стануть частиною вашого життя і повсякденної письменницької практики. «Писати як дихати» — це книжка-імпульс. Її інтерактивна частина спонукає до творчості і водночас"---240
Купи собі той довбаний букет: та інші способи зібратися докупи від тієї, кому вдалось---Тара Шустер---В цій книжці авторка розповідає історію власного перевиховання та перетворення на чемпіонку з любові до себе. Завдяки простим щоденним ритуалам Тара змінила свою свідомість, тіло та стосунки і навчить вас, як:     вдавати вдячність, поки не відчуєте вдячності насправді   розкопати та зцілити---240
Питання життя і смерті---Ірвін Ялом, Мерилін Ялом---Ця книжка — своєрідний щоденник, який вели Ірвін Ялом та його дружина Мерилін у час найтяжчого випробування: у Мерилін було діагностовано рак, і перед подружжям постало питання, як знайти сенс свого існування у новій реальності, як боротися з відчаєм. Але це не про горе і сум, а про велику любов і---190
Есенціалізм. Мистецтво визначати пріоритети---Ґреґ Маккеон---"Концепцію Есенціалізму успішно застосовують в Google,
Facebook, Twitter, LinkedIn. 

 Тематика 
 Саморозвиток, селфмейд, управління часом, ефективність особистості,
психологія. 

 Про книжку «Есенціалізм. Миcтeцтвo визнaчaти пpiopитeти» Ґреґ Маккеон 
 Чи відчували ви коли-небудь, що викладаєтеся на"---200
У глибокій прірві. Як позбутися наслідків дитячих травм---Надін Берк Гарріс---Часто недуги дорослих людей живляться з джерела дитячих психологічних травм. Ми дуже рідко це усвідомлюємо, а лікарі зазвичай лікують наслідки, не дошукуючись їх причин. Натомість доктор Надін Берк Гарріс здійснила дослідження, яке підтверджує: жодна дитяча травма не минає безслідно. Водночас---240
Зберігайте спокій. Щоденна інструкція з вирішення проблем---Раян Голідей, Стівен Генсільман---"Книжка навчить підходити до владнання будь-яких проблем як справжній стоїк — із самовладанням, мудрістю та стійкістю.
  ТЕМАТИКА 
 Саморозвиток, психологія, мотиваційна література.
   ПРО КНИЖКУ   
 Є те, що ми можемо змінити, і те, що ні. Хоч би як сильно ми сварилися з представником авіакомпанії,"---195
Інстамозок. Як екранна залежність призводить до стресів і депресії---Андерс Гансен---"Як не з’їхати з глузду від свого смартфона. 

 Тематика книги 
 Психологія, біологія, екранна залежність, діджиталізація, соціальні мережі. 

 Про що книжка «Інстамозок. Як екранна залежність призводить
до стресів і депресії» Андерса Гансена 
 «Не для світу цього», — можна сказати про мозок людини."---220
Десять жінок---Леся Карпа---"У цій книжці ви зустрінетеся з персонажами, яких у тому чи іншому сенсі можна назвати «маленькими». Наприклад, колишня заробітчанка, самотня мати. Або «жінка-лялька», покликана розважати свого чоловіка. Упосліджена дівчина з ромської громади. Чи мало симпатичний пострадянський художник-спілчанин."---199
Емоційний інтелект лідера---Деніел Ґоулман, Річард Бояціс, Енні Маккі---"Як емоції допомагають лідеру керувати колективом.  

 Тематика книги  
 Психологія, HR, управління командою.  

