Book title---Author---Description---Price
Атлант розправив плечі (комплект з трьох книг у футлярі)---Айн Ренд---""" «Атлант розправив плечі» — випробувана часом класика на перетині нон-фікшн та художньої літератури. Вона стоїть на чільних місцях у книжкових шафах по всьому світу уже понад 60 років. 
  Комплект із трьох книг у футлярі «Атлант розправив плечі» — це повне"---700
Українські прислів’я та приказки------Прислів’я та приказки шліфувалися століттями й передавалися від покоління до покоління, з уст в уста. Вони є своєрідним підсумком життєвого досвіду, відтворенням усього, чого сповнене людське буття: етики, моралі, звичаїв тощо. Кумедні та влучні вислови свідчать про кмітливість, спостережливість і---76
Атлант розправив плечі. Частина перша. Несуперечність---Айн Ренд---"Тематика 
 Індивідуалізм, психологія творчості, приватна власність, великий бізнес.
  Про книгу 
 «Атлант розправив плечі» – magnus opus Айн Ренд, який авторка писала впродовж 12 років, став її найгучнішим бестселером, одним із найвпливовіших художніх творів світової літератури. Згідно з даними"---175
Жіноча і чоловіча логіка. Анекдоти про жінок і чоловіків---Олексій Кононенко---"«Автор цих анекдотів – народ», – не втомлюється повторювати Олексій Кононенко у своїй семибарвній-семиструнній серії із 7 книг «Антологія українського анекдота Українська веселка». Він не один рік збирав, упорядковував і супроводжував авторськими текстами ці збірники і веселих, і сатиричних"---50
Джерело---Айн Ренд---"Роман «Джерело» Айн Ренд — світовий бестселер, вперше опублікований у 1943 році в США. На сьогодні ця книжка вважається одним із найвідоміших творів американської літератури. За романом 1949-го року був знятий однойменний фільм, сценарій до якого написала сама Ренд, а головну роль зіграв Гарі"---220
Ми, живі---Айн Ренд---"Тематика книги  

 Художня література 

 Опис книги ""Ми, живі"" Айн Ренд 


 Головна героїня, волелюбна Кіра Арґунова, щосили намагається вирватися з
глейких обіймів системи й порятувати коханого Лео. Але це нестерпно важко у
світі, де добро і зло зліпилися в одну почвару, вчорашні борці стали"---230
Кафе на краю світу---Джон П. Стрелекі---"Зупиніться. Поставте на паузу щоденну метушню, вирвіться з її тенет і зазирніть до кафе на краю світу. Розгорніть меню й придивіться уважніше до останньої сторінки — там ви прочитаєте три запитання, від яких тікали все життя. Чому ви тут? Чи боїтеся ви смерті? Чи вдоволені ви? 
  Ця книжка"---125
Казка про Добромола---Олександр Турчинов---"Книга для свідомих та розумних читачів, які не голосують за
казкових персонажів. 

 ТЕМАТИКА 
 Сучасна українська література, гумор, сатира, антиутопія. 

 ПРО КНИЖКУ ОЛЕКСАНДРА ТУРЧИНОВА «КАЗКА ПРО ДОБРОМОЛА» 
  «Казка про Добромола» – це веселий і водночас сумний сатиричний
гротеск на нашу"---130
